cell	persona	topic	engine	built	words	flow	ei_v2	craft	book_pass	angle_journey	scene_density_gate	book_quality
burnout_overwhelm__corporate_managers	corporate_managers	burnout	overwhelm	yes	19942	PASS	0.6547	0.5184	PASS	PASS	PASS(reduced)	Hold
burnout_watcher__corporate_managers	corporate_managers	burnout	watcher	yes	19942	PASS	0.6547	0.5184	PASS	PASS	PASS(reduced)	Hold
burnout_grief__corporate_managers	corporate_managers	burnout	grief	yes	19942	PASS	0.6547	0.5184	PASS	PASS	PASS(reduced)	Hold
burnout_overwhelm__healthcare_rns	healthcare_rns	burnout	overwhelm	yes	22000	PASS	0.6136	0.5618	PASS	PASS	PASS(reduced)	Hold
burnout_overwhelm__working_parents	working_parents	burnout	overwhelm	yes	19804	PASS	0.6635	0.5674	PASS	PASS	PASS(reduced)	Hold
burnout_grief__gen_z_professionals	gen_z_professionals	burnout	grief	yes	22000	PASS	0.6597	0.5484	PASS	PASS	-	Hold
burnout_watcher__first_responders	first_responders	burnout	watcher	yes	18455	PASS	0.651	0.5252	PASS	PASS	PASS(reduced)	Hold
imposter_syndrome_shame__gen_z_professionals	gen_z_professionals	imposter_syndrome	shame	yes	19430	FAIL	0.6402	0.5981	PASS	PASS	PASS(reduced)	Reject
courage_false_alarm__corporate_managers	corporate_managers	courage	false_alarm	BLOCKED	0	-	-	-	-	-	-	    raise EnrichmentGapError(
imposter_syndrome_shame__corporate_managers	corporate_managers	imposter_syndrome	shame	BLOCKED	0	-	-	-	-	-	-	    raise EnrichmentGapError(
