action_000	Release.
action_007	Stop.
action_022	Done.
action_056	Release it.
action_060	Release completely.
action_224	Rest.
breathing_004	Breathe in for four counts.
breathing_017	Breathe out.
breathing_021	Breathe in.
breathing_025	Breathe out for four counts.
breathing_030	Breathe.
breathing_061	Breathe out for six.
breathing_062	Feel your breath.
breathing_075	Breathe in through your nose for four counts.
breathing_086	Breathe in for four.
breathing_088	Breathe out for six counts.
breathing_091	Breathe once.
breathing_102	Just breathe.
breathing_126	Breathe in again.
breathing_156	Breathe in through your nose for five counts.
breathing_165	Count to four on the exhale.
breathing_200	Take a breath.
breathing_201	Let it out.
breathing_216	Take a deep breath in.
breathing_222	One breath at a time.
closing_188	Squeeze gently.
closing_204	Stay here as long as you need.
closing_205	When you are ready, open your eyes.
counting_002	Repeat five times.
counting_006	Repeat six times.
counting_009	Repeat three times.
counting_011	Count to four.
counting_013	Count to three.
counting_014	Hold for four counts.
counting_020	Count to five.
counting_032	Repeat four times.
counting_033	Count to six.
counting_037	Do this five times.
counting_047	Hold for five counts.
counting_057	Do this three times.
counting_065	Repeat eight times.
counting_070	Do this ten times.
counting_076	Do this eight times.
counting_077	Press and count to five.
counting_080	That counts.
counting_081	Repeat twice.
counting_087	Press and count to six.
counting_093	Hold for six counts.
counting_096	Hold for four.
counting_097	Hold for two counts.
counting_112	Hold for two.
counting_129	Press and count to four.
counting_139	Press down for five counts.
counting_193	Do this six times.
counting_196	Roll your shoulders backward five times.
feeling_003	Feel this.
feeling_008	Feel your power.
feeling_016	Feel your strength.
feeling_019	Feel your heartbeat.
feeling_024	Feel it.
feeling_027	Feel yourself brave.
feeling_040	Feel your presence.
feeling_043	Feel yourself capable.
feeling_044	Feel your courage.
feeling_049	Feel the power.
feeling_052	Your heart is brave.
feeling_054	Your body is teaching you.
feeling_055	Feel your bravery.
feeling_059	Feel your body.
feeling_067	Feel the pressure.
feeling_068	Feel your spine.
feeling_079	Feel the strength.
feeling_083	Feel your feet.
feeling_085	Feel the release.
feeling_092	Feel yourself present.
feeling_103	Feel the water.
feeling_107	Feel this power.
feeling_109	Trust your body.
feeling_110	Place your hand on your heart.
feeling_113	Feel the warmth.
feeling_116	Place both feet flat on the floor.
feeling_118	Feel your heart.
feeling_120	Place your hands on your heart.
feeling_121	Feel your voice.
feeling_122	Feel yourself in it.
feeling_123	Feel this future.
feeling_125	Your body is brave.
feeling_130	Remove your hands.
feeling_133	Your body knows how to rest.
feeling_136	Feel your hands.
feeling_138	Feel the difference.
feeling_146	Your heart has survived everything.
feeling_147	Trust your heart.
feeling_151	Feel your body being brave.
feeling_152	Feel your words.
feeling_153	Feel yourself moving.
feeling_154	Place one hand on your heart.
feeling_159	Feel the ground.
feeling_161	Place both hands on your thighs.
feeling_163	Feel your feet on the ground.
feeling_174	Notice: you did it.
feeling_180	Feel the movement.
feeling_182	Feet shoulder-width apart.
feeling_183	Feel the groundedness.
feeling_184	Feel yourself.
feeling_186	Feel this strength.
feeling_187	Feel the shock.
feeling_189	Place both feet on the floor.
feeling_191	Just notice.
feeling_194	Tense every muscle in your body.
feeling_197	Your body is strong.
feeling_199	Feel the support.
feeling_206	Where is the weight.
feeling_207	Your chest.
feeling_208	Your throat.
feeling_209	Put your hand there.
feeling_217	Feel your feet on the floor.
feeling_218	Notice your hands.
feeling_219	Press your feet down.
other_038	Write it.
other_039	You can do this.
other_048	In your car.
other_051	In your kitchen.
other_053	In your office.
other_058	At the gym.
other_063	Say it.
other_066	Do this.
other_072	Clear.
other_074	Trust this.
other_078	Shake.
other_082	Pause.
other_084	Hold.
other_089	Both are true.
other_090	Say it again.
other_094	Hold it.
other_095	Write it down.
other_099	Press down.
other_101	You survived.
other_104	Right now.
other_105	Steady.
other_106	Press firmly.
other_111	You showed up.
other_115	Just move.
other_119	Listen to it.
other_131	Not silent.
other_132	Off.
other_137	You exist.
other_140	Toward truth.
other_141	Trust your strength.
other_142	You have the right to speak.
other_144	You've moved forward.
other_145	You can create this.
other_148	Imagine yourself speaking your truth.
other_155	Not future.
other_158	Clench your jaw.
other_160	Move.
other_166	Jump.
other_167	Don't think about it.
other_168	Read them out loud.
other_169	Drop your shoulders.
other_170	Unclench your jaw.
other_171	Not now.
other_172	Ask for help.
other_173	Read it.
other_175	Celebrate it.
other_176	What do you see?
other_177	Hear?
other_179	Hum again.
other_181	Say it out loud.
other_185	Look at yourself.
other_190	Your shoulders.
other_192	In for four.
other_195	Thumb to index.
permission_028	You're allowed to be brave.
permission_071	You're allowed to be here.
permission_073	You're allowed to speak.
permission_124	You're allowed to take up space.
