path	purpose	subsystem	owner	consumers	status
scripts/ci/check_accent_flagship_truth.py	CI drift/readiness gate (check_accent_flagship_truth.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_accent_plan_assignment.py	CI drift/readiness gate (check_accent_plan_assignment.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_accent_supply_preflight.py	CI drift/readiness gate (check_accent_supply_preflight.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_acceptance_claim_language.py	CI drift/readiness gate (check_acceptance_claim_language.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_agent_registry.py	CI drift/readiness gate (check_agent_registry.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_artifact_retention.py	CI drift/readiness gate (check_artifact_retention.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_atoms_external_book_references.py	CI drift/readiness gate (check_atoms_external_book_references.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_author_cover_art.py	CI drift/readiness gate (check_author_cover_art.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_author_positioning.py	CI drift/readiness gate (check_author_positioning.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_authority_doc_read.py	CI drift/readiness gate (check_authority_doc_read.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_bisac_topic_map.py	CI drift/readiness gate (check_bisac_topic_map.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_blocked_platforms.py	CI drift/readiness gate (check_blocked_platforms.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_book_output_no_placeholders.py	CI drift/readiness gate (check_book_output_no_placeholders.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_book_output_tier0_contract.py	CI drift/readiness gate (check_book_output_tier0_contract.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_book_story_authored.py	CI drift/readiness gate (check_book_story_authored.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_branch_protection_ruleset.py	CI drift/readiness gate (check_branch_protection_ruleset.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_brand_admin_weekly_os_public_sync.py	CI drift/readiness gate (check_brand_admin_weekly_os_public_sync.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_brand_wizard_ja_hardcoded_en.py	CI drift/readiness gate (check_brand_wizard_ja_hardcoded_en.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_canonical_atom_parse_sweep.py	CI drift/readiness gate (check_canonical_atom_parse_sweep.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_canonical_pipeline_path.py	CI drift/readiness gate (check_canonical_pipeline_path.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_capability_regression.py	CI drift/readiness gate (check_capability_regression.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_catalog_manifest_acceptance_layer.py	CI drift/readiness gate (check_catalog_manifest_acceptance_layer.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_catalog_ship_wrap_defect4.py	CI drift/readiness gate (check_catalog_ship_wrap_defect4.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_catalog_spam.py	CI drift/readiness gate (check_catalog_spam.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_chapter_object_continuity.py	CI drift/readiness gate (check_chapter_object_continuity.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_church_yaml_no_sensitive_tokens.py	CI drift/readiness gate (check_church_yaml_no_sensitive_tokens.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_data_dictionary.py	CI drift/readiness gate (check_data_dictionary.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_docs_governance.py	CI drift/readiness gate (check_docs_governance.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_doctrine_drift.py	CI drift/readiness gate (check_doctrine_drift.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_doctrine_schema.py	CI drift/readiness gate (check_doctrine_schema.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_duplicate_modules.py	CI drift/readiness gate (check_duplicate_modules.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_ei_v2_promotion_gate.py	CI drift/readiness gate (check_ei_v2_promotion_gate.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_enhancement_contract_v21.py	CI drift/readiness gate (check_enhancement_contract_v21.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_exercise_slot_contract.py	CI drift/readiness gate (check_exercise_slot_contract.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_export_no_bypass.py	CI drift/readiness gate (check_export_no_bypass.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_external_buy_links.py	CI drift/readiness gate (check_external_buy_links.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_f1h_templated_cluster_hard.py	CI drift/readiness gate (check_f1h_templated_cluster_hard.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_flagship_book_parity.py	CI drift/readiness gate (check_flagship_book_parity.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_flagship_chapter_shape.py	CI drift/readiness gate (check_flagship_chapter_shape.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_flagship_contract.py	CI drift/readiness gate (check_flagship_contract.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_flagship_exercise_diversity.py	CI drift/readiness gate (check_flagship_exercise_diversity.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_flagship_exercise_five_layer.py	CI drift/readiness gate (check_flagship_exercise_five_layer.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_format_duration_contracts.py	CI drift/readiness gate (check_format_duration_contracts.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_harbor_production_truth_labeling.py	CI drift/readiness gate (check_harbor_production_truth_labeling.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_integration_env.py	CI drift/readiness gate (check_integration_env.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_lean_best_book_parity.py	CI drift/readiness gate (check_lean_best_book_parity.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_manga_serial_spine.py	CI drift/readiness gate (check_manga_serial_spine.py)	ci	Pearl_GitHub	.github/workflows	WIRED
scripts/ci/check_manga_story_authored.py	CI drift/readiness gate (check_manga_story_authored.py)	ci	Pearl_GitHub	.github/workflows	WIRED
