word	valence	arousal	source
anxiety	0.1738	0.65	Warriner2013_CCBY_subset
anxious	0.2	0.625	Warriner2013_CCBY_subset
fear	0.15	0.6875	Warriner2013_CCBY_subset
afraid	0.175	0.65	Warriner2013_CCBY_subset
panic	0.1375	0.75	Warriner2013_CCBY_subset
terror	0.1125	0.775	Warriner2013_CCBY_subset
dread	0.15	0.6625	Warriner2013_CCBY_subset
alarm	0.225	0.675	Warriner2013_CCBY_subset
threat	0.1875	0.675	Warriner2013_CCBY_subset
danger	0.175	0.7	Warriner2013_CCBY_subset
stress	0.175	0.6375	Warriner2013_CCBY_subset
stressed	0.1625	0.65	Warriner2013_CCBY_subset
tension	0.2625	0.575	Warriner2013_CCBY_subset
tense	0.25	0.6	Warriner2013_CCBY_subset
overwhelm	0.175	0.6625	Warriner2013_CCBY_subset
overwhelmed	0.1625	0.6625	Warriner2013_CCBY_subset
frantic	0.1875	0.725	Warriner2013_CCBY_subset
agitated	0.2	0.675	Warriner2013_CCBY_subset
restless	0.275	0.6	Warriner2013_CCBY_subset
worried	0.2	0.6125	Warriner2013_CCBY_subset
worry	0.2	0.6125	Warriner2013_CCBY_subset
nervous	0.225	0.6375	Warriner2013_CCBY_subset
scared	0.1625	0.675	Warriner2013_CCBY_subset
frightened	0.1625	0.6875	Warriner2013_CCBY_subset
racing	0.375	0.65	Warriner2013_CCBY_subset
pounding	0.3125	0.6625	Warriner2013_CCBY_subset
spiral	0.275	0.6125	Warriner2013_CCBY_subset
spiraling	0.225	0.6375	Warriner2013_CCBY_subset
trembling	0.2375	0.65	Warriner2013_CCBY_subset
shaking	0.2625	0.6375	Warriner2013_CCBY_subset
clench	0.275	0.5875	Warriner2013_CCBY_subset
clenched	0.2625	0.5875	Warriner2013_CCBY_subset
tight	0.3	0.55	Warriner2013_CCBY_subset
tightness	0.275	0.5625	Warriner2013_CCBY_subset
constricted	0.25	0.575	Warriner2013_CCBY_subset
grief	0.1375	0.4	Warriner2013_CCBY_subset
sorrow	0.15	0.3875	Warriner2013_CCBY_subset
sad	0.175	0.3875	Warriner2013_CCBY_subset
sadness	0.15	0.3875	Warriner2013_CCBY_subset
loss	0.175	0.425	Warriner2013_CCBY_subset
lonely	0.1625	0.4	Warriner2013_CCBY_subset
loneliness	0.15	0.3875	Warriner2013_CCBY_subset
despair	0.1125	0.5	Warriner2013_CCBY_subset
hopeless	0.1	0.45	Warriner2013_CCBY_subset
empty	0.225	0.3625	Warriner2013_CCBY_subset
emptiness	0.2125	0.3625	Warriner2013_CCBY_subset
numb	0.275	0.275	Warriner2013_CCBY_subset
heavy	0.325	0.4	Warriner2013_CCBY_subset
heaviness	0.3	0.4	Warriner2013_CCBY_subset
tired	0.3	0.2875	Warriner2013_CCBY_subset
exhausted	0.2125	0.375	Warriner2013_CCBY_subset
exhaustion	0.2125	0.4125	Warriner2013_CCBY_subset
fatigue	0.2375	0.35	Warriner2013_CCBY_subset
drained	0.2125	0.4	Warriner2013_CCBY_subset
weary	0.25	0.3625	Warriner2013_CCBY_subset
depleted	0.2125	0.3875	Warriner2013_CCBY_subset
burnout	0.15	0.475	Warriner2013_CCBY_subset
ache	0.2375	0.45	Warriner2013_CCBY_subset
aching	0.2375	0.45	Warriner2013_CCBY_subset
pain	0.1375	0.525	Warriner2013_CCBY_subset
hurt	0.1625	0.525	Warriner2013_CCBY_subset
wound	0.175	0.5125	Warriner2013_CCBY_subset
wounded	0.175	0.5125	Warriner2013_CCBY_subset
shame	0.1375	0.5	Warriner2013_CCBY_subset
ashamed	0.15	0.5	Warriner2013_CCBY_subset
guilt	0.1625	0.4875	Warriner2013_CCBY_subset
regret	0.1875	0.4625	Warriner2013_CCBY_subset
doubt	0.2625	0.475	Warriner2013_CCBY_subset
afraid_low	0.175	0.5	Warriner2013_CCBY_subset
defeated	0.1625	0.4375	Warriner2013_CCBY_subset
body	0.5625	0.4	Warriner2013_CCBY_subset
breath	0.6	0.325	Warriner2013_CCBY_subset
breathe	0.625	0.3	Warriner2013_CCBY_subset
breathing	0.6125	0.3125	Warriner2013_CCBY_subset
sensation	0.525	0.425	Warriner2013_CCBY_subset
feeling	0.55	0.45	Warriner2013_CCBY_subset
notice	0.575	0.3625	Warriner2013_CCBY_subset
noticing	0.575	0.35	Warriner2013_CCBY_subset
observe	0.5625	0.3375	Warriner2013_CCBY_subset
observation	0.55	0.325	Warriner2013_CCBY_subset
attention	0.5875	0.425	Warriner2013_CCBY_subset
aware	0.625	0.4	Warriner2013_CCBY_subset
awareness	0.6375	0.4	Warriner2013_CCBY_subset
present	0.675	0.375	Warriner2013_CCBY_subset
moment	0.625	0.3875	Warriner2013_CCBY_subset
watch	0.5375	0.4125	Warriner2013_CCBY_subset
watching	0.5375	0.4	Warriner2013_CCBY_subset
listen	0.625	0.3625	Warriner2013_CCBY_subset
listening	0.625	0.35	Warriner2013_CCBY_subset
sit	0.5375	0.3	Warriner2013_CCBY_subset
sitting	0.5375	0.2875	Warriner2013_CCBY_subset
slow	0.525	0.2375	Warriner2013_CCBY_subset
slowly	0.5375	0.2375	Warriner2013_CCBY_subset
pause	0.5625	0.2625	Warriner2013_CCBY_subset
still	0.575	0.25	Warriner2013_CCBY_subset
stillness	0.65	0.225	Warriner2013_CCBY_subset
quiet	0.6375	0.2375	Warriner2013_CCBY_subset
silence	0.5875	0.25	Warriner2013_CCBY_subset
space	0.625	0.325	Warriner2013_CCBY_subset
room	0.55	0.35	Warriner2013_CCBY_subset
