# zh-TW Simplified contamination — KNOWN DEBT BASELINE
# Recorded: 2026-07-15 at origin/main 9e9b9e606791590337cd7d0f2fb425def2e6f760
# Gate: scripts/ci/check_zh_tw_simplified_contamination.py (ratchet/delta gate)
# Audit: artifacts/qa/zh_tw_simplified_contamination_20260715/
#
# Each row is PRE-EXISTING debt the gate tolerates at <= the recorded count.
# This list may only SHRINK. Never add a row to silence a failing PR — that
# is the bypass this gate exists to prevent. Remove a row when the file is
# repaired (the gate tells you to).
distinct_simplified_chars	zh_tw_file
1	atoms/corporate_managers/burnout/TEACHER_DOCTRINE/locales/zh-TW/CANONICAL.txt
6	atoms/corporate_managers/courage/INTEGRATION/locales/zh-TW/CANONICAL.txt
2	atoms/educators/adhd_focus/THREAD/locales/zh-TW/CANONICAL.txt
1	atoms/educators/anxiety/comparison/locales/zh-TW/CANONICAL.txt
46	atoms/educators/anxiety/spiral/locales/zh-TW/CANONICAL.txt
28	atoms/educators/anxiety/watcher/locales/zh-TW/CANONICAL.txt
1	atoms/educators/boundaries/STORY/locales/zh-TW/CANONICAL.txt
5	atoms/educators/burnout/EXERCISE/locales/zh-TW/CANONICAL.txt
1	atoms/educators/burnout/PERMISSION/locales/zh-TW/CANONICAL.txt
1	atoms/educators/burnout/REFLECTION/locales/zh-TW/CANONICAL.txt
2	atoms/educators/burnout/overwhelm/locales/zh-TW/CANONICAL.txt
2	atoms/educators/burnout/watcher/locales/zh-TW/CANONICAL.txt
1	atoms/educators/compassion_fatigue/STORY/locales/zh-TW/CANONICAL.txt
1	atoms/educators/courage/STORY/locales/zh-TW/CANONICAL.txt
1	atoms/educators/depression/STORY/locales/zh-TW/CANONICAL.txt
1	atoms/educators/depression/grief/locales/zh-TW/CANONICAL.txt
1	atoms/educators/depression/shame/locales/zh-TW/CANONICAL.txt
1	atoms/educators/financial_stress/STORY/locales/zh-TW/CANONICAL.txt
1	atoms/educators/grief/STORY/locales/zh-TW/CANONICAL.txt
2	atoms/educators/imposter_syndrome/HOOK/locales/zh-TW/CANONICAL.txt
1	atoms/educators/imposter_syndrome/PERMISSION/locales/zh-TW/CANONICAL.txt
2	atoms/educators/imposter_syndrome/PIVOT/locales/zh-TW/CANONICAL.txt
1	atoms/educators/imposter_syndrome/REFLECTION/locales/zh-TW/CANONICAL.txt
3	atoms/educators/imposter_syndrome/STORY/locales/zh-TW/CANONICAL.txt
3	atoms/educators/imposter_syndrome/false_alarm/locales/zh-TW/CANONICAL.txt
