zh_path	en_path	triage	n_en_blocks	n_zh_blocks
atoms/healthcare_rns/financial_anxiety/watcher/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/watcher/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/financial_anxiety/grief/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/grief/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/financial_anxiety/false_alarm/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/false_alarm/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/financial_anxiety/COMPRESSION/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/COMPRESSION/CANONICAL.txt	HEADER_MISMATCH;BAD_BLOCKS:1/1	3	1
atoms/healthcare_rns/financial_anxiety/comparison/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/comparison/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/financial_anxiety/HOOK/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/financial_anxiety/HOOK/CANONICAL.txt	BAD_BLOCKS:30/30	30	30
atoms/healthcare_rns/compassion_fatigue/watcher/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/watcher/CANONICAL.txt	CLEAN_FALSE_POSITIVE	27	27
atoms/healthcare_rns/compassion_fatigue/spiral/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/spiral/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/compassion_fatigue/grief/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/grief/CANONICAL.txt	HEADER_MISMATCH;BAD_BLOCKS:1/3	27	3
atoms/healthcare_rns/compassion_fatigue/false_alarm/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/false_alarm/CANONICAL.txt	HEADER_MISMATCH;BAD_BLOCKS:1/16	26	16
atoms/healthcare_rns/compassion_fatigue/shame/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/shame/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/compassion_fatigue/COMPRESSION/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/COMPRESSION/CANONICAL.txt	BAD_BLOCKS:30/30	30	30
atoms/healthcare_rns/compassion_fatigue/comparison/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/compassion_fatigue/comparison/CANONICAL.txt	CLEAN_FALSE_POSITIVE	26	26
atoms/healthcare_rns/anxiety/watcher/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/anxiety/watcher/CANONICAL.txt	HEADER_MISMATCH;BAD_BLOCKS:1/3	28	3
atoms/healthcare_rns/anxiety/overwhelm/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/anxiety/overwhelm/CANONICAL.txt	CLEAN_FALSE_POSITIVE	28	28
atoms/healthcare_rns/anxiety/spiral/locales/zh-TW/CANONICAL.txt	atoms/healthcare_rns/anxiety/spiral/CANONICAL.txt	HEADER_MISMATCH;BAD_BLOCKS:1/4	28	4
